call_id,caller_msisdn,callee_msisdn,start_timestamp,duration_sec,call_type,caller_tower_id,caller_tower_lat,caller_tower_lon,callee_tower_id,callee_tower_lat,callee_tower_lon
D7421E5A,+91-77540-69754,+91-93400-61930,2025-04-25T09:08:00,1196,VOICE,BOM-318,19.119944,72.84687,BOM-318,19.119945,72.846586
10A7297B,+91-88200-48938,+91-93400-15242,2025-05-06T17:32:00,1499,VOICE,BOM-212,19.041841,72.863475,BOM-519,19.066201,72.878011
23854954,+91-63990-47325,+91-70420-89586,2025-04-24T22:26:00,1129,VOICE,BOM-901,19.029572,72.855008,BOM-702,19.076323,72.877423
76D2E634,+91-96200-11111,+91-96200-22222,2025-05-04T21:38:00,1696,VOICE,BOM-901,19.02977,72.855209,BOM-621,19.13615,72.829446
F795E4AE,+91-77540-53654,+91-75300-93290,2025-05-20T15:59:00,46,SMS,BOM-702,19.076388,72.877717,BOM-702,19.075505,72.877762
C436B0E9,+91-87890-46078,+91-77540-25956,2025-05-09T08:42:00,10,SMS,BOM-901,19.029265,72.85488,BOM-808,19.054409,72.900588
ABDA43C2,+91-80720-49164,+91-63990-60193,2025-05-20T14:01:00,536,VOICE,BOM-901,19.029746,72.85563,BOM-808,19.054354,72.900416
30928B9B,+91-91761-23304,+91-70420-20807,2025-04-26T13:46:00,8,SMS,BOM-318,19.120098,72.847254,BOM-244,19.099174,72.849367
A0553AEF,+91-93400-38446,+91-77540-13507,2025-04-27T12:16:00,1502,VOICE,BOM-318,19.119542,72.847295,BOM-808,19.054391,72.900761
3E14B2CA,+91-87890-48651,+91-87890-63091,2025-04-23T22:16:00,449,VOICE,BOM-244,19.098986,72.848804,BOM-808,19.054614,72.900786
DF929D5F,+91-75300-30396,+91-75300-25323,2025-04-16T15:02:00,1769,VOICE,BOM-447,19.044322,72.856187,BOM-103,18.962973,72.833781
B0EA1EB3,+91-91761-59269,+91-89120-60235,2025-04-20T10:53:00,411,VOICE,BOM-103,18.962813,72.833746,BOM-519,19.066023,72.877917
7D1FDC5D,+91-75300-92865,+91-88200-64318,2025-04-25T16:43:00,1340,VOICE,BOM-808,19.054718,72.900207,BOM-808,19.054941,72.900315
D69B7875,+91-80720-89130,+91-77540-73277,2025-05-03T07:25:00,226,VOICE,BOM-702,19.075533,72.877698,BOM-519,19.066551,72.878786
018DA08B,+91-63990-15670,+91-87890-59673,2025-05-14T14:11:00,855,VOICE,BOM-901,19.02912,72.855744,BOM-808,19.054714,72.900108
B2D6AAB3,+91-93400-33569,+91-91761-13772,2025-04-27T12:58:00,623,VOICE,BOM-621,19.135538,72.829918,BOM-519,19.066293,72.878066
0F06298D,+91-87890-31101,+91-80720-61154,2025-05-07T13:06:00,1302,VOICE,BOM-519,19.066396,72.877919,BOM-447,19.04474,72.855967
6A950BC8,+91-80720-43415,+91-75300-39977,2025-05-06T08:23:00,1592,VOICE,BOM-447,19.044176,72.855579,BOM-808,19.05408,72.900982
6C122D59,+91-70420-54174,+91-87890-96502,2025-05-09T22:02:00,1112,VOICE,BOM-901,19.029103,72.855236,BOM-103,18.963315,72.834607
26C8F34E,+91-91761-37030,+91-80720-58039,2025-05-09T23:54:00,24,SMS,BOM-318,19.119402,72.847135,BOM-103,18.962914,72.834223
6B5AFE30,+91-89120-32882,+91-89120-69326,2025-04-16T12:41:00,848,VOICE,BOM-103,18.962835,72.834668,BOM-808,19.054772,72.900213
4EEF40E5,+91-70420-45740,+91-75300-16198,2025-05-10T22:14:00,17,SMS,BOM-318,19.120054,72.847023,BOM-621,19.136212,72.830066
8E09E456,+91-96200-11111,+91-96200-22222,2025-04-15T19:28:00,1064,VOICE,BOM-318,19.120185,72.846469,BOM-621,19.136282,72.82999
C492A090,+91-80720-99233,+91-93400-60018,2025-04-18T11:38:00,1619,VOICE,BOM-244,19.098923,72.848924,BOM-103,18.963123,72.834087
248F7A32,+91-89120-43676,+91-93400-83150,2025-05-07T12:09:00,978,VOICE,BOM-519,19.066676,72.87798,BOM-808,19.054953,72.90055
BB6DC11B,+91-77540-93020,+91-75300-16963,2025-04-26T19:46:00,1527,VOICE,BOM-808,19.054399,72.90068,BOM-519,19.066768,72.878723
E3486737,+91-80720-88223,+91-63990-92475,2025-05-02T17:12:00,25,SMS,BOM-901,19.029301,72.855616,BOM-621,19.135637,72.829478
A16B4869,+91-91761-77882,+91-75300-83868,2025-05-05T10:16:00,44,SMS,BOM-103,18.962805,72.834507,BOM-519,19.065947,72.878013
498225EA,+91-88200-34390,+91-77540-89287,2025-05-19T22:55:00,732,VOICE,BOM-212,19.041757,72.863821,BOM-901,19.029371,72.855006
5477FE5E,+91-89120-43837,+91-91761-62570,2025-04-24T08:41:00,56,SMS,BOM-212,19.041471,72.86407,BOM-519,19.066063,72.878888
0246EADB,+91-77540-88422,+91-70420-58451,2025-04-24T08:51:00,39,SMS,BOM-212,19.041522,72.864151,BOM-212,19.04178,72.863399
F86E69D2,+91-80720-42446,+91-75300-75988,2025-05-19T22:56:00,1649,VOICE,BOM-621,19.135706,72.829936,BOM-447,19.044795,72.855319
F785B3F4,+91-77540-36761,+91-63990-72301,2025-05-03T20:43:00,511,VOICE,BOM-447,19.044146,72.856174,BOM-621,19.135887,72.82987
0D9080FE,+91-80720-61714,+91-89120-60280,2025-05-15T20:29:00,985,VOICE,BOM-808,19.054456,72.900607,BOM-244,19.099327,72.849419
3381E476,+91-70420-14261,+91-89120-19203,2025-05-01T10:30:00,16,SMS,BOM-702,19.075833,72.87818,BOM-318,19.119203,72.846887
A829C4C5,+91-75300-86452,+91-63990-96090,2025-05-14T08:27:00,657,VOICE,BOM-318,19.119769,72.846807,BOM-901,19.029311,72.854959
9979C9C6,+91-88200-63996,+91-80720-35860,2025-05-18T19:51:00,1675,VOICE,BOM-808,19.05402,72.900499,BOM-621,19.135663,72.82914
1EC249DB,+91-77540-43814,+91-88200-63689,2025-05-16T13:38:00,12,SMS,BOM-808,19.054292,72.90062,BOM-244,19.098509,72.848993
B2D69B69,+91-70420-74469,+91-89120-63970,2025-04-29T23:20:00,1113,VOICE,BOM-244,19.09906,72.848688,BOM-519,19.066095,72.878565
DD508BBD,+91-80720-86092,+91-89120-87731,2025-04-30T10:39:00,56,SMS,BOM-621,19.135559,72.829483,BOM-212,19.041219,72.86324
82CBBBD5,+91-70420-37232,+91-80720-16642,2025-05-20T12:28:00,20,SMS,BOM-212,19.041287,72.864086,BOM-244,19.099364,72.848828
C04344EA,+91-63990-32383,+91-93400-95527,2025-04-18T19:30:00,468,VOICE,BOM-702,19.07603,72.878104,BOM-808,19.054174,72.900209
DC0147E2,+91-88200-59776,+91-88200-51046,2025-04-17T19:58:00,588,VOICE,BOM-621,19.135967,72.829684,BOM-621,19.135798,72.829595
3838E6BA,+91-80720-75642,+91-88200-98747,2025-05-08T15:24:00,867,VOICE,BOM-212,19.041115,72.863349,BOM-808,19.054794,72.900181
8A88592E,+91-88200-37978,+91-70420-45733,2025-04-21T16:27:00,1434,VOICE,BOM-244,19.099107,72.848755,BOM-447,19.043994,72.855933
10FB5B34,+91-88200-19840,+91-88200-20215,2025-04-21T12:15:00,19,SMS,BOM-212,19.04143,72.863323,BOM-212,19.041821,72.863218
