call_id,caller_msisdn,callee_msisdn,start_timestamp,duration_sec,call_type,caller_tower_id,caller_tower_lat,caller_tower_lon,callee_tower_id,callee_tower_lat,callee_tower_lon
BCB683A4,+91-91761-12427,+91-93400-77056,2025-02-03T23:12:00,229,VOICE,BOM-702,19.076289,72.877981,BOM-702,19.076022,72.87814
6ED431C2,+91-63990-28793,+91-88200-23341,2025-03-09T21:22:00,1751,VOICE,BOM-447,19.044261,72.855545,BOM-702,19.076236,72.877278
A99639AC,+91-80720-58038,+91-87890-21385,2025-03-22T11:56:00,1422,VOICE,BOM-103,18.963252,72.833755,BOM-212,19.041763,72.863629
9386F968,+91-63990-37762,+91-89120-47584,2025-02-27T09:43:00,1652,VOICE,BOM-103,18.963139,72.834218,BOM-212,19.041094,72.863204
D00F783F,+91-75300-27186,+91-88200-90395,2025-02-26T23:40:00,8,SMS,BOM-901,19.029257,72.854861,BOM-244,19.09869,72.849136
CC92A1BB,+91-93400-87572,+91-89120-61399,2025-02-04T16:51:00,1373,VOICE,BOM-318,19.119432,72.847002,BOM-244,19.098644,72.848725
F1374304,+91-75300-72856,+91-87890-26009,2025-04-05T21:21:00,27,SMS,BOM-244,19.099221,72.848673,BOM-447,19.043947,72.85543
29137793,+91-91761-72123,+91-63990-95896,2025-02-17T14:36:00,243,VOICE,BOM-901,19.02928,72.855361,BOM-901,19.029426,72.855379
1193785C,+91-97300-77777,+91-91761-47876,2025-02-28T17:53:00,9,SMS,BOM-212,19.041666,72.864194,BOM-901,19.02937,72.855008
1CFA63EA,+91-91761-84660,+91-89120-43384,2025-02-27T08:11:00,724,VOICE,BOM-901,19.029218,72.855357,BOM-244,19.099454,72.84948
27512694,+91-75300-53071,+91-75300-33905,2025-02-17T07:50:00,914,VOICE,BOM-103,18.963608,72.834427,BOM-447,19.044014,72.855852
309F727A,+91-93400-16909,+91-89120-49234,2025-03-18T19:02:00,1177,VOICE,BOM-808,19.054447,72.90098,BOM-702,19.07607,72.877633
964736DE,+91-88200-39685,+91-93400-37927,2025-03-22T12:28:00,25,SMS,BOM-519,19.066748,72.878195,BOM-447,19.044759,72.855992
47FFE1E4,+91-89120-18173,+91-93400-98534,2025-01-21T08:24:00,55,SMS,BOM-244,19.099093,72.849153,BOM-519,19.066084,72.878459
E7763ED0,+91-97300-11111,+91-97300-22222,2025-03-19T23:13:00,1404,VOICE,BOM-212,19.041135,72.863822,BOM-447,19.044066,72.855771
FEFBEA84,+91-87890-84922,+91-80720-45371,2025-01-24T08:05:00,1533,VOICE,BOM-318,19.119245,72.846382,BOM-901,19.029912,72.855267
BDBD3BF5,+91-89120-69867,+91-93400-86292,2025-04-11T08:29:00,29,SMS,BOM-808,19.054486,72.900702,BOM-621,19.136144,72.829282
CFF94594,+91-63990-66057,+91-63990-15847,2025-03-05T18:01:00,1472,VOICE,BOM-318,19.119627,72.847249,BOM-808,19.054513,72.90041
4752E7A7,+91-77540-47082,+91-91761-64862,2025-04-08T23:35:00,1011,VOICE,BOM-901,19.029459,72.855668,BOM-621,19.135937,72.829445
84B3BAF9,+91-97300-33333,+91-97300-11111,2025-03-31T23:46:00,512,VOICE,BOM-318,19.119243,72.846467,BOM-621,19.136314,72.829514
72BC1364,+91-89120-86715,+91-88200-99962,2025-04-01T13:00:00,5,SMS,BOM-447,19.044181,72.855709,BOM-447,19.044619,72.856143
8DDE085B,+91-75300-99952,+91-80720-47921,2025-02-14T21:42:00,1526,VOICE,BOM-621,19.135697,72.82978,BOM-318,19.119497,72.846404
0558208E,+91-88200-83293,+91-88200-67283,2025-04-06T12:40:00,5,SMS,BOM-318,19.120079,72.84663,BOM-621,19.135522,72.829776
0A676C18,+91-93400-97103,+91-75300-69839,2025-03-19T21:39:00,261,VOICE,BOM-318,19.119453,72.84659,BOM-519,19.066317,72.878611
306562A5,+91-88200-80635,+91-93400-43493,2025-01-26T07:34:00,1034,VOICE,BOM-702,19.075436,72.878102,BOM-702,19.075459,72.878133
8F42A979,+91-70420-90677,+91-89120-37828,2025-04-17T08:26:00,32,SMS,BOM-621,19.135626,72.829734,BOM-212,19.041628,72.863293
DEE9D559,+91-75300-97532,+91-93400-60970,2025-02-03T11:07:00,1497,VOICE,BOM-702,19.075444,72.878054,BOM-212,19.04114,72.863456
004C08FF,+91-93400-96661,+91-89120-48134,2025-03-27T16:30:00,10,SMS,BOM-621,19.135894,72.829334,BOM-244,19.099226,72.848549
DE14343A,+91-80720-35760,+91-70420-14851,2025-04-18T13:59:00,351,VOICE,BOM-447,19.044308,72.855702,BOM-447,19.04432,72.855728
1BBEE674,+91-77540-70436,+91-80720-14328,2025-02-16T07:43:00,582,VOICE,BOM-808,19.054262,72.900759,BOM-808,19.054229,72.900577
08348451,+91-80720-74768,+91-70420-55866,2025-03-28T14:39:00,34,SMS,BOM-447,19.044007,72.856197,BOM-702,19.07577,72.878067
1AE9498F,+91-87890-76965,+91-89120-76984,2025-02-13T07:56:00,1082,VOICE,BOM-808,19.054822,72.90091,BOM-447,19.044672,72.855769
A0B6ED8D,+91-97300-11111,+91-97300-22222,2025-03-16T22:15:00,1759,VOICE,BOM-702,19.076085,72.877782,BOM-447,19.04414,72.855572
1952FEAB,+91-75300-78228,+91-89120-34892,2025-03-07T17:30:00,1329,VOICE,BOM-103,18.963136,72.834104,BOM-702,19.075941,72.877671
15EBB800,+91-91761-74572,+91-77540-22857,2025-04-18T11:43:00,1235,VOICE,BOM-103,18.963034,72.834418,BOM-244,19.099185,72.848577
3677C5AA,+91-87890-61362,+91-63990-17612,2025-02-23T22:11:00,1060,VOICE,BOM-621,19.135654,72.829997,BOM-244,19.098523,72.848607
F03D9E3A,+91-91761-26052,+91-70420-44847,2025-03-07T07:21:00,843,VOICE,BOM-212,19.04101,72.863873,BOM-621,19.136229,72.829586
627E957D,+91-89120-71177,+91-88200-63292,2025-02-20T11:12:00,38,SMS,BOM-103,18.963116,72.834153,BOM-244,19.099206,72.849141
36A4EB01,+91-77540-45535,+91-93400-71032,2025-02-19T07:08:00,46,SMS,BOM-103,18.96379,72.833716,BOM-318,19.119943,72.846321
1B110ADA,+91-63990-64735,+91-77540-62494,2025-04-15T18:05:00,425,VOICE,BOM-103,18.963642,72.834058,BOM-901,19.029786,72.854982
7735D751,+91-91761-53233,+91-88200-12718,2025-04-09T20:28:00,951,VOICE,BOM-901,19.029932,72.855503,BOM-318,19.120042,72.8466
7C9B512A,+91-80720-80966,+91-75300-31685,2025-01-22T13:37:00,11,SMS,BOM-447,19.044714,72.855421,BOM-447,19.044176,72.85557
4415A758,+91-91761-17081,+91-88200-43897,2025-03-20T08:04:00,751,VOICE,BOM-244,19.098958,72.848557,BOM-808,19.054314,72.900171
C2E1D81A,+91-80720-85101,+91-89120-19232,2025-02-03T08:52:00,152,VOICE,BOM-212,19.041751,72.863886,BOM-318,19.120029,72.846487
8B6A67F5,+91-93400-81973,+91-75300-50728,2025-02-18T12:51:00,139,VOICE,BOM-318,19.119815,72.847295,BOM-621,19.13632,72.829636
8FD8D51E,+91-89120-21722,+91-70420-41333,2025-01-20T13:14:00,42,SMS,BOM-244,19.098616,72.848571,BOM-103,18.963135,72.833701
7A1ABE3A,+91-80720-22341,+91-89120-80609,2025-04-15T08:38:00,910,VOICE,BOM-447,19.044687,72.855948,BOM-244,19.098738,72.848681
A8DD4E37,+91-63990-29164,+91-88200-28769,2025-02-12T17:08:00,22,SMS,BOM-519,19.066182,72.878011,BOM-103,18.963595,72.834234
FBCC8E4A,+91-93400-75138,+91-77540-32264,2025-01-30T08:21:00,34,SMS,BOM-519,19.066011,72.878414,BOM-447,19.04432,72.855632
81B1D0EB,+91-77540-41414,+91-89120-63896,2025-04-21T17:18:00,1309,VOICE,BOM-519,19.066482,72.878116,BOM-103,18.963445,72.833708
B7BEC379,+91-89120-52766,+91-91761-62209,2025-01-18T20:32:00,1736,VOICE,BOM-318,19.120171,72.846758,BOM-702,19.076111,72.877272
33534905,+91-80720-32131,+91-91761-23934,2025-04-21T11:22:00,1624,VOICE,BOM-901,19.029867,72.855036,BOM-901,19.029912,72.855315
0B7024AA,+91-87890-24305,+91-77540-50462,2025-02-06T14:10:00,52,SMS,BOM-621,19.136491,72.829554,BOM-212,19.04137,72.86401
FA3F7918,+91-93400-17328,+91-77540-85225,2025-03-22T14:01:00,1353,VOICE,BOM-318,19.119352,72.84634,BOM-621,19.136377,72.829909
89A1282E,+91-70420-52549,+91-63990-42934,2025-02-10T09:28:00,1602,VOICE,BOM-212,19.041637,72.863846,BOM-621,19.13634,72.829495
600FE0FA,+91-75300-94059,+91-70420-83092,2025-03-02T19:56:00,531,VOICE,BOM-702,19.076357,72.877537,BOM-103,18.963689,72.834691
8D6B75AA,+91-75300-19737,+91-70420-13975,2025-04-02T10:11:00,1504,VOICE,BOM-621,19.136023,72.830054,BOM-212,19.041118,72.863283
19F2727C,+91-75300-14775,+91-87890-85430,2025-01-26T10:15:00,1550,VOICE,BOM-103,18.963753,72.834342,BOM-212,19.041132,72.863673
26A3AE51,+91-77540-10586,+91-63990-65864,2025-02-07T19:48:00,44,SMS,BOM-621,19.135513,72.829795,BOM-447,19.044359,72.855767
601553C3,+91-70420-49523,+91-63990-77575,2025-03-23T19:44:00,1119,VOICE,BOM-901,19.029501,72.855688,BOM-621,19.136438,72.829274
