call_id,caller_msisdn,callee_msisdn,start_timestamp,duration_sec,call_type,caller_tower_id,caller_tower_lat,caller_tower_lon,callee_tower_id,callee_tower_lat,callee_tower_lon
181A41FE,+91-87890-43244,+91-88200-67048,2025-01-11T13:28:00,29,SMS,BOM-519,19.06663,72.878686,BOM-621,19.135889,72.82943
CADFF03D,+91-70420-77467,+91-75300-16758,2025-01-15T19:23:00,44,SMS,BOM-447,19.044266,72.855475,BOM-103,18.963505,72.834261
D5AA29CF,+91-75300-75970,+91-63990-32402,2025-02-06T08:43:00,924,VOICE,BOM-621,19.135766,72.829127,BOM-244,19.099078,72.848937
D996D61E,+91-75300-28617,+91-80720-52186,2025-01-08T10:53:00,24,SMS,BOM-318,19.119588,72.846304,BOM-447,19.044118,72.855664
67F2D3D6,+91-91761-87836,+91-88200-51168,2025-01-14T15:29:00,420,VOICE,BOM-244,19.098953,72.848663,BOM-318,19.119523,72.846317
F0CD0ECF,+91-93400-10497,+91-80720-11995,2025-02-19T09:17:00,743,VOICE,BOM-318,19.119791,72.847167,BOM-808,19.054931,72.900353
AA8A6E0D,+91-75300-42229,+91-77540-32084,2025-03-14T16:19:00,1221,VOICE,BOM-212,19.04116,72.864009,BOM-447,19.044857,72.855533
AC7E020E,+91-89120-49649,+91-75300-76837,2025-02-19T12:25:00,1050,VOICE,BOM-621,19.13605,72.829543,BOM-519,19.066325,72.878761
2CFE8FF1,+91-77540-22531,+91-87890-47737,2025-03-02T20:51:00,23,SMS,BOM-318,19.119751,72.846475,BOM-103,18.963474,72.834626
A7122396,+91-98400-33333,+91-98400-11111,2025-03-06T07:35:00,19,SMS,BOM-447,19.044616,72.856001,BOM-901,19.029689,72.855609
1A10BDE5,+91-88200-10588,+91-70420-52491,2025-01-11T08:11:00,24,SMS,BOM-702,19.076085,72.87735,BOM-447,19.044047,72.855459
F621C81D,+91-88200-97579,+91-91761-61673,2025-02-27T07:32:00,59,SMS,BOM-808,19.054704,72.900387,BOM-702,19.076332,72.877983
A537B672,+91-77540-97789,+91-88200-60123,2025-03-12T14:46:00,818,VOICE,BOM-447,19.044449,72.855482,BOM-901,19.03006,72.855445
6A5D1172,+91-88200-84273,+91-75300-47802,2025-01-15T07:31:00,970,VOICE,BOM-318,19.119723,72.84659,BOM-103,18.963464,72.834004
7F09D767,+91-87890-33452,+91-70420-48445,2025-02-18T19:43:00,1623,VOICE,BOM-103,18.963413,72.834131,BOM-808,19.05405,72.900789
F9A2B0CC,+91-89120-71749,+91-93400-96562,2025-02-26T16:52:00,1123,VOICE,BOM-244,19.098954,72.84857,BOM-702,19.076275,72.878149
8C96708B,+91-87890-93964,+91-75300-46291,2025-02-03T16:12:00,1074,VOICE,BOM-519,19.0667,72.878705,BOM-244,19.098904,72.84882
260B3883,+91-98400-11111,+91-98400-22222,2025-01-10T08:14:00,1067,VOICE,BOM-447,19.044805,72.85616,BOM-519,19.066078,72.878385
21348DB4,+91-93400-16103,+91-80720-99662,2025-02-20T11:13:00,245,VOICE,BOM-244,19.098503,72.84871,BOM-212,19.04173,72.863214
7E2E434B,+91-91761-91737,+91-93400-11221,2025-01-18T07:08:00,836,VOICE,BOM-244,19.099492,72.848716,BOM-447,19.04413,72.855519
98E4EA06,+91-87890-13578,+91-93400-48019,2025-02-04T17:17:00,1750,VOICE,BOM-244,19.098854,72.84891,BOM-808,19.054029,72.900231
2E5789E3,+91-80720-56488,+91-75300-50629,2025-01-09T20:54:00,484,VOICE,BOM-212,19.04155,72.86401,BOM-901,19.029116,72.855764
38AA8CC9,+91-75300-13904,+91-75300-61023,2025-02-25T10:51:00,18,SMS,BOM-318,19.11939,72.846937,BOM-244,19.099248,72.848567
225755EE,+91-87890-94218,+91-91761-39723,2025-01-30T12:19:00,784,VOICE,BOM-702,19.075469,72.877547,BOM-621,19.136038,72.829683
21BA9147,+91-91761-77330,+91-93400-24535,2025-03-12T07:03:00,899,VOICE,BOM-808,19.05441,72.900738,BOM-318,19.119906,72.846362
6987CFA8,+91-98400-12345,+91-98400-22222,2025-02-13T18:43:00,586,VOICE,BOM-212,19.04151,72.863392,BOM-103,18.963098,72.834641
A482D676,+91-63990-81057,+91-63990-76492,2025-01-15T10:04:00,1618,VOICE,BOM-519,19.066021,72.878326,BOM-447,19.044505,72.85582
5A2D3A40,+91-91761-77287,+91-75300-94241,2025-03-13T23:25:00,1133,VOICE,BOM-621,19.136276,72.830069,BOM-901,19.029496,72.855043
0725FC63,+91-75300-80703,+91-87890-65747,2025-02-24T22:38:00,23,VOICE,BOM-519,19.065806,72.878689,BOM-702,19.075605,72.878101
42795F0A,+91-77540-99076,+91-77540-46312,2025-03-09T19:21:00,53,SMS,BOM-519,19.066279,72.878681,BOM-244,19.098878,72.848877
BBA75EA2,+91-63990-76747,+91-63990-33597,2025-02-03T08:50:00,54,SMS,BOM-212,19.041777,72.863203,BOM-808,19.054409,72.9006
BE7B75C9,+91-87890-21450,+91-75300-10171,2025-02-19T13:11:00,1732,VOICE,BOM-447,19.044214,72.855346,BOM-318,19.119608,72.846817
3C080C08,+91-88200-89791,+91-89120-40270,2025-02-10T14:28:00,629,VOICE,BOM-447,19.044717,72.855968,BOM-244,19.098754,72.848765
A557250A,+91-88200-91619,+91-89120-99319,2025-03-08T09:32:00,1352,VOICE,BOM-447,19.04486,72.856104,BOM-244,19.098883,72.849362
7BB8DD58,+91-91761-54696,+91-63990-70436,2025-03-06T22:04:00,278,VOICE,BOM-519,19.06625,72.878543,BOM-901,19.029158,72.855457
A80E1ED1,+91-77540-39878,+91-91761-65386,2025-02-05T23:38:00,50,SMS,BOM-212,19.041587,72.863884,BOM-447,19.043953,72.855745
082948F3,+91-75300-97342,+91-88200-18849,2025-02-12T07:38:00,29,SMS,BOM-103,18.963441,72.833932,BOM-244,19.099205,72.848513
4087629B,+91-91761-13959,+91-93400-87510,2025-03-10T14:56:00,1396,VOICE,BOM-519,19.066758,72.878202,BOM-244,19.099192,72.848613
1DEC7874,+91-77540-60506,+91-93400-35312,2025-03-09T14:36:00,1158,VOICE,BOM-103,18.963215,72.833806,BOM-244,19.098858,72.848959
7281F174,+91-87890-38369,+91-63990-97223,2025-01-18T17:41:00,560,VOICE,BOM-318,19.119301,72.846815,BOM-103,18.963436,72.834655
723CDD33,+91-91761-36406,+91-70420-75648,2025-03-08T11:53:00,1626,VOICE,BOM-103,18.963674,72.834396,BOM-621,19.135606,72.82952
B969BE98,+91-89120-15902,+91-93400-38100,2025-01-16T12:10:00,484,VOICE,BOM-244,19.098821,72.849057,BOM-901,19.029114,72.85525
34EB7A1C,+91-93400-31950,+91-63990-74763,2025-01-04T10:47:00,836,VOICE,BOM-901,19.029606,72.854913,BOM-808,19.054987,72.900468
