txn_id,sender_name,sender_account,sender_bank,receiver_name,receiver_account,receiver_bank,amount_inr,timestamp,txn_type,reference_no,remarks
956A120C,Suresh Menon,ICICI-XXXX-5761,SBI,Suresh Iyer,HDFC-XXXX-7046,ICICI,147467,2025-04-26T12:12:00,CASH,REFB52B9D2E,Personal
20E7843B,Anita Pandey,PNB-XXXX-5364,HDFC,Sanjay Singh,BOI-XXXX-3087,AXIS,121547,2025-05-11T09:29:00,IMPS,REF27CD8D1F,Personal
ED63FDA7,Lata Menon,AXIS-XXXX-2986,HDFC,Meena Das,SBI-XXXX-9932,ICICI,85503,2025-05-01T17:03:00,CASH,REF2CE0747A,Invoice
D1AE3A09,Anita Mishra,ICICI-XXXX-8551,HDFC,Mahesh Nair,ICICI-XXXX-1490,SBI,8022,2025-04-16T20:42:00,CASH,REFCC107C8E,Personal
5A1D1059,Mahesh Ghosh,SBI-XXXX-2102,BOI,Sanjay Iyer,HDFC-XXXX-1683,ICICI,91232,2025-04-27T08:24:00,IMPS,REFDA2098EA,Invoice
ADEBD288,Sanjay Pandey,PNB-XXXX-1359,HDFC,Rekha Nair,ICICI-XXXX-9119,HDFC,73729,2025-04-22T17:06:00,NEFT,REF399E4EE7,EMI
3D42C0DF,Anil Kumar,HDFC-XXXX-4829,ICICI,Lata Mishra,SBI-XXXX-1874,SBI,102140,2025-05-13T19:44:00,NEFT,REF38A4B710,
4FF7BAC1,Rajesh Roy,AXIS-XXXX-5503,AXIS,Sanjay Singh,BOI-XXXX-2040,AXIS,134734,2025-05-19T15:24:00,IMPS,REF82D69CEB,Invoice
AE64FC6A,Shobha Nair,PNB-XXXX-4463,HDFC,Priya Pandey,BOI-XXXX-2797,SBI,115483,2025-05-08T17:38:00,CASH,REF52954FAC,Invoice
5FB1EC04,Suresh Mishra,HDFC-XXXX-2505,ICICI,Rekha Menon,SBI-XXXX-7760,ICICI,23239,2025-05-16T14:34:00,NEFT,REFBC686060,
8FA0AE69,Anita Sharma,AXIS-XXXX-6666,ICICI,Priya Patel,BOI-XXXX-7402,HDFC,12022,2025-04-26T17:46:00,CASH,REF211B446C,Rent
0BB7B0AD,I. Khan,BOI-XXXX-6004,PNB,Rekha Roy,ICICI-XXXX-2079,ICICI,13599,2025-05-05T16:22:00,UPI,REF67F7658E,
78C5FB27,Lata Kumar,AXIS-XXXX-8929,ICICI,Mahesh Menon,AXIS-XXXX-7567,ICICI,48210,2025-05-04T08:24:00,IMPS,REFAF4ECB54,Invoice
