txn_id,sender_name,sender_account,sender_bank,receiver_name,receiver_account,receiver_bank,amount_inr,timestamp,txn_type,reference_no,remarks
A380DF1F,Vijay Patel,HDFC-XXXX-8992,AXIS,Shobha Iyer,BOI-XXXX-5451,ICICI,331584,2025-01-28T17:24:00,NEFT,REF246E007C,Rent
C7BD8B5F,Priya Tiwari,SBI-XXXX-2633,AXIS,Anil Kumar,SBI-XXXX-1222,SBI,74299,2025-02-15T20:05:00,RTGS,REF8CA6C4C4,Rent
D84312E9,Anil Menon,PNB-XXXX-3379,BOI,Priya Pandey,SBI-XXXX-7308,SBI,421386,2025-02-09T10:00:00,IMPS,REF38DDB37E,Personal
299D0B16,Sanjay Patel,SBI-XXXX-6891,AXIS,Lata Ghosh,SBI-XXXX-6582,HDFC,362753,2025-03-23T15:12:00,IMPS,REF05CBE8C8,
20E2773C,Sanjay Patel,HDFC-XXXX-3574,ICICI,Dinesh Das,PNB-XXXX-7830,ICICI,124917,2025-02-17T15:59:00,RTGS,REF3B164D50,Invoice
BB8DCAFB,Rekha Singh,HDFC-XXXX-1491,AXIS,Meena Nair,AXIS-XXXX-7114,ICICI,331061,2025-02-25T08:50:00,NEFT,REF950B2152,Invoice
ED5BD1CB,Sanjay Pandey,HDFC-XXXX-3064,BOI,Vijay Menon,AXIS-XXXX-8887,BOI,238111,2025-02-07T11:08:00,NEFT,REF5F98E3C5,Personal
22D2886A,Rajesh Singh,ICICI-XXXX-8763,HDFC,Rajesh Singh,BOI-XXXX-6545,BOI,232447,2025-02-03T18:46:00,NEFT,REF4AFEA6C6,Rent
C23D43D0,Shobha Roy,HDFC-XXXX-6639,HDFC,Lata Pandey,BOI-XXXX-6149,BOI,201273,2025-03-04T15:41:00,IMPS,REFC51AC085,
89812748,Meena Patel,AXIS-XXXX-4348,SBI,Meena Mishra,BOI-XXXX-8270,ICICI,75394,2025-02-19T13:41:00,NEFT,REF463D8C59,
158562C5,Mahesh Menon,ICICI-XXXX-9812,ICICI,Shobha Nair,SBI-XXXX-8730,HDFC,466818,2025-01-24T13:49:00,CASH,REFB2795834,EMI
A76906E0,Meena Nair,PNB-XXXX-2243,ICICI,Anita Nair,BOI-XXXX-9401,BOI,342460,2025-01-25T20:17:00,IMPS,REF4D608C5B,Personal
3EC28CD6,Dinesh Das,HDFC-XXXX-4174,BOI,Mahesh Joshi,BOI-XXXX-3875,SBI,313367,2025-01-31T19:04:00,IMPS,REF3A8E9AFF,Invoice
172BC888,Suresh Roy,HDFC-XXXX-3641,SBI,Dinesh Nair,SBI-XXXX-2386,SBI,270367,2025-02-22T13:34:00,IMPS,REF995EECE3,EMI
A95D34D9,Shobha Kumar,HDFC-XXXX-1324,ICICI,Mahesh Mishra,ICICI-XXXX-4137,SBI,432966,2025-04-03T18:19:00,CASH,REF2116B683,Rent
EAA3E157,Anil Singh,BOI-XXXX-7735,HDFC,Usha Roy,PNB-XXXX-1173,AXIS,206284,2025-03-15T20:27:00,IMPS,REFA42A7AA5,
8DB976C3,Vijay Mishra,HDFC-XXXX-6567,BOI,Meena Patel,HDFC-XXXX-1352,HDFC,446912,2025-02-17T09:01:00,CASH,REFEFA1B080,Rent
0031E0F0,Rajesh Singh,HDFC-XXXX-7498,AXIS,Vijay Mishra,BOI-XXXX-3826,AXIS,411768,2025-01-26T20:29:00,CASH,REF80C2CAE3,EMI
21811001,Vijay Joshi,HDFC-XXXX-1458,HDFC,Lata Nair,HDFC-XXXX-1197,ICICI,195925,2025-03-21T19:55:00,IMPS,REF559E8240,EMI
3227F097,Sanjay Kumar,SBI-XXXX-4437,ICICI,Rekha Roy,AXIS-XXXX-3580,AXIS,95397,2025-02-06T16:09:00,CASH,REF7AAE8EC4,Rent
1088C09E,Shobha Ghosh,HDFC-XXXX-5346,ICICI,Rekha Iyer,BOI-XXXX-7836,ICICI,167174,2025-02-08T08:37:00,IMPS,REFAF8004AD,Invoice
8C485914,Usha Das,HDFC-XXXX-8311,SBI,Shobha Joshi,BOI-XXXX-4946,HDFC,115960,2025-02-05T20:42:00,CASH,REF2BCD7C38,Personal
DF897439,Usha Roy,PNB-XXXX-2672,HDFC,Shobha Singh,PNB-XXXX-2805,HDFC,13696,2025-03-14T10:17:00,NEFT,REF9AA33FA9,EMI
C5FFE392,Dinesh Roy,HDFC-XXXX-9692,BOI,Rajesh Tiwari,BOI-XXXX-6941,BOI,125808,2025-03-23T10:23:00,IMPS,REFADCF3247,Personal
275FC25C,Anita Pandey,SBI-XXXX-7841,AXIS,Lata Nair,BOI-XXXX-8411,ICICI,414652,2025-03-04T15:53:00,CASH,REF046717C7,
ECD5E657,Anita Das,SBI-XXXX-3549,ICICI,Meena Das,AXIS-XXXX-7132,ICICI,196100,2025-03-10T10:34:00,RTGS,REFA2B7576D,Personal
A295FF0A,Shobha Iyer,SBI-XXXX-6477,ICICI,Meena Singh,AXIS-XXXX-4905,ICICI,441478,2025-01-21T13:33:00,IMPS,REF895242CC,Personal
2432F68E,Vijay Roy,ICICI-XXXX-5768,ICICI,Rajesh Ghosh,BOI-XXXX-3369,SBI,129459,2025-03-20T16:54:00,NEFT,REF82EB1A63,EMI
BB2D0064,Sanjay Mishra,AXIS-XXXX-9600,AXIS,Mahesh Nair,PNB-XXXX-8060,HDFC,97485,2025-03-03T10:45:00,IMPS,REFAE2BFCDC,Rent
4A315840,Dinesh Ghosh,PNB-XXXX-4319,SBI,Lata Patel,SBI-XXXX-4546,ICICI,98493,2025-02-17T17:06:00,IMPS,REFED3D08F2,
AC08D9EE,Sanjay Iyer,ICICI-XXXX-9803,SBI,Priya Tiwari,BOI-XXXX-9751,SBI,234911,2025-03-17T19:03:00,RTGS,REF9B970A6E,EMI
4358F829,Vikram S.,AXIS-XXXX-4001,AXIS,Meera Nambiar,AXIS-XXXX-4002,AXIS,1000000,2025-03-04T17:32:00,RTGS,AXISBF22973E,Business settlement
5C64F581,Rekha Das,BOI-XXXX-8606,HDFC,Rekha Mishra,ICICI-XXXX-9609,AXIS,380206,2025-03-19T15:17:00,IMPS,REF37BDFB3D,EMI
35BFA305,Usha Tiwari,HDFC-XXXX-3652,AXIS,Rekha Kumar,BOI-XXXX-8877,AXIS,454671,2025-02-28T11:40:00,IMPS,REF5C44CC7B,EMI
D94A6E40,Rekha Joshi,ICICI-XXXX-1385,BOI,Vijay Patel,ICICI-XXXX-6847,AXIS,14184,2025-03-13T13:19:00,CASH,REF97D6B669,Personal
44B87185,V. Sinha,AXIS-XXXX-4001,AXIS,Meera Nambiar,AXIS-XXXX-4002,AXIS,1000000,2025-02-08T12:40:00,RTGS,AXISBA1D6A63,Business settlement
ECD37E37,Meena Singh,BOI-XXXX-3400,HDFC,Suresh Das,SBI-XXXX-6297,SBI,474737,2025-01-21T10:32:00,NEFT,REFC1839331,EMI
91365E70,Sanjay Pandey,ICICI-XXXX-9964,SBI,Shobha Singh,AXIS-XXXX-6139,HDFC,494714,2025-02-21T10:04:00,RTGS,REFF297E006,
5FD0B1C7,Lata Das,SBI-XXXX-6955,ICICI,Anil Iyer,BOI-XXXX-3113,AXIS,197273,2025-03-21T17:20:00,RTGS,REF1B543E70,Personal
5FAED478,Sanjay Roy,BOI-XXXX-8184,SBI,Mahesh Das,BOI-XXXX-3045,SBI,36817,2025-01-19T14:20:00,CASH,REFDD3E1312,Personal
CAC7E5A8,Rekha Patel,BOI-XXXX-3102,ICICI,Priya Kumar,AXIS-XXXX-6810,ICICI,123222,2025-03-09T14:43:00,NEFT,REF9E6ACFA7,
318F2064,Vijay Singh,HDFC-XXXX-3246,BOI,Meena Nair,PNB-XXXX-4453,SBI,200239,2025-02-02T08:15:00,CASH,REF770BC78A,EMI
B1015780,Sanjay Roy,HDFC-XXXX-4268,ICICI,Suresh Iyer,BOI-XXXX-4268,ICICI,164905,2025-01-25T12:36:00,CASH,REF66A708F4,EMI
D37C718F,Vijay Joshi,ICICI-XXXX-1202,SBI,Vijay Roy,PNB-XXXX-6259,ICICI,449382,2025-02-06T15:29:00,NEFT,REF6FC39CF5,EMI
D34E1336,Mahesh Roy,SBI-XXXX-2817,AXIS,Lata Singh,SBI-XXXX-3323,ICICI,142360,2025-02-07T09:04:00,NEFT,REF5490536F,Invoice
5D9EA677,Mahesh Tiwari,AXIS-XXXX-2871,SBI,Shobha Pandey,SBI-XXXX-5428,ICICI,313407,2025-03-05T12:52:00,NEFT,REFAA7CA484,Personal
CA9FFAA5,Usha Sharma,AXIS-XXXX-2649,AXIS,Sanjay Kumar,AXIS-XXXX-2205,AXIS,333037,2025-01-24T11:43:00,NEFT,REF63ED5A86,EMI
08F5FA3B,Usha Mishra,BOI-XXXX-6201,ICICI,Suresh Roy,AXIS-XXXX-4962,BOI,210186,2025-02-08T17:41:00,NEFT,REFF1B50622,Personal
602E27AB,Mahesh Tiwari,BOI-XXXX-1599,HDFC,Meena Sharma,AXIS-XXXX-4840,AXIS,119606,2025-02-23T14:56:00,NEFT,REFC7677D51,
4DB6DC5D,Priya Iyer,PNB-XXXX-3098,AXIS,Usha Tiwari,AXIS-XXXX-7750,HDFC,20184,2025-02-21T12:32:00,IMPS,REFCAF64686,EMI
600EDF9A,Sanjay Iyer,PNB-XXXX-5726,SBI,Meena Pandey,PNB-XXXX-6427,ICICI,132008,2025-02-10T16:03:00,CASH,REF71C69BC5,Rent
B580EBC8,Mahesh Ghosh,AXIS-XXXX-6766,ICICI,Anita Ghosh,SBI-XXXX-6806,AXIS,116183,2025-02-03T14:32:00,NEFT,REF5D78D428,
3D66BFE6,Vijay Menon,ICICI-XXXX-2730,ICICI,Dinesh Ghosh,BOI-XXXX-7425,HDFC,455393,2025-03-07T15:48:00,NEFT,REF916A7F12,Invoice
1C07D9FC,Vijay Tiwari,SBI-XXXX-4805,ICICI,Shobha Menon,SBI-XXXX-9481,BOI,308996,2025-03-21T14:18:00,RTGS,REF87A258E4,EMI
4D38A41F,Usha Pandey,PNB-XXXX-1653,ICICI,Anil Mishra,BOI-XXXX-8209,AXIS,417836,2025-01-30T09:09:00,RTGS,REF6AEA6B32,
84201E2C,Dinesh Singh,PNB-XXXX-7422,ICICI,Usha Ghosh,HDFC-XXXX-6282,HDFC,53892,2025-01-26T08:27:00,NEFT,REF3F378A15,
