txn_id,sender_name,sender_account,sender_bank,receiver_name,receiver_account,receiver_bank,amount_inr,timestamp,txn_type,reference_no,remarks
9FD7062F,Meena Mishra,AXIS-XXXX-8249,ICICI,Shobha Mishra,HDFC-XXXX-7944,AXIS,41586,2025-01-12T10:13:00,RTGS,REFB68A5E84,Invoice payment
0BADB902,Vijay Tiwari,AXIS-XXXX-4515,BOI,Vijay Mishra,ICICI-XXXX-9047,HDFC,37148,2025-01-18T09:28:00,IMPS,REFA3BB5D13,Invoice payment
EDFD58FD,Rajesh Ghosh,PNB-XXXX-4228,ICICI,Sanjay Ghosh,AXIS-XXXX-2146,ICICI,168356,2025-02-10T18:54:00,NEFT,REF1A6964BC,Salary
ACDF38BF,Meena Mishra,ICICI-XXXX-3604,ICICI,Suresh Joshi,SBI-XXXX-6905,ICICI,26606,2025-02-17T18:57:00,CASH,REF9D0585D5,Rent payment
0A993209,Phoenix Exp. Pvt Ltd,HDFC-XXXX-1002,HDFC,D. Rao,SBI-XXXX-2001,SBI,618801,2025-01-18T16:31:00,NEFT,SBIA8A52F1C,Transport charges
B45D1A84,Rekha Sharma,BOI-XXXX-7623,SBI,Rekha Sharma,HDFC-XXXX-7958,AXIS,78011,2025-02-04T20:50:00,CASH,REF4E8AB720,Invoice payment
2ED7C482,Suresh Roy,AXIS-XXXX-8007,BOI,Usha Joshi,ICICI-XXXX-2421,AXIS,180441,2025-01-13T10:08:00,NEFT,REF00E2C882,Salary
687E3B5F,Shobha Das,BOI-XXXX-1203,AXIS,Meena Singh,HDFC-XXXX-3174,ICICI,82539,2025-01-31T18:05:00,NEFT,REFA595811F,Invoice payment
243D1B7C,Priya Menon,HDFC-XXXX-8005,AXIS,Usha Das,SBI-XXXX-7232,ICICI,108324,2025-03-10T16:41:00,CASH,REF7A2BF8DF,Personal transfer
20003EF5,Lata Menon,AXIS-XXXX-3262,SBI,Sanjay Mishra,PNB-XXXX-4764,AXIS,188320,2025-01-21T09:13:00,IMPS,REFF32E2178,Invoice payment
1372FAD1,Vijay Roy,BOI-XXXX-2560,HDFC,Vijay Pandey,AXIS-XXXX-1971,ICICI,176939,2025-01-17T19:55:00,IMPS,REFF4C71A72,Rent payment
44D1E7D6,Rajesh Joshi,HDFC-XXXX-9178,HDFC,Priya Ghosh,PNB-XXXX-8656,ICICI,172228,2025-03-10T20:39:00,NEFT,REF863F0187,
27ABAD18,Dinesh Mishra,SBI-XXXX-2832,SBI,Anil Ghosh,PNB-XXXX-3442,BOI,14444,2025-02-17T17:35:00,IMPS,REF106BF3B0,Invoice payment
66E0C75B,Sanjay Tiwari,ICICI-XXXX-4588,HDFC,Meena Roy,BOI-XXXX-5106,HDFC,169691,2025-01-13T18:41:00,NEFT,REFB9AF1182,Salary
AC17F1F6,Suresh Kumar,HDFC-XXXX-8875,ICICI,Dinesh Das,HDFC-XXXX-1044,SBI,181064,2025-01-12T09:53:00,IMPS,REF4123D5A6,Invoice payment
5177F68A,Rajesh Iyer,PNB-XXXX-7624,HDFC,Rekha Joshi,AXIS-XXXX-3091,BOI,145017,2025-01-04T14:37:00,IMPS,REF46794835,Personal transfer
16703F77,Vijay Singh,BOI-XXXX-8982,ICICI,Meena Mishra,ICICI-XXXX-3100,HDFC,31226,2025-02-06T17:04:00,IMPS,REFD6A1C0B4,Salary
8BF50DAA,Anil Pandey,HDFC-XXXX-6629,HDFC,Anita Singh,ICICI-XXXX-6191,ICICI,191235,2025-02-04T17:41:00,NEFT,REFF3B678D6,Salary
299A6F97,Deepak Rao,SBI-XXXX-2001,SBI,Sunrise Traders,ICICI-XXXX-3001,ICICI,399391,2025-02-01T20:30:00,NEFT,ICICI39BD0EFB,Goods payment
CFAFBFD3,A. Mehta,HDFC-XXXX-1001,HDFC,Phoenix Exp.,HDFC-XXXX-1002,HDFC,9942964,2025-01-09T10:01:00,NEFT,HDFCD41C267F,Commission payment – export services
50276E40,Mahesh Pandey,BOI-XXXX-4507,ICICI,Sanjay Singh,ICICI-XXXX-1778,ICICI,155345,2025-02-21T20:14:00,IMPS,REFC579DFC7,Personal transfer
CD68F2AF,Phoenix Exports,HDFC-XXXX-1002,HDFC,Deepak Rao,SBI-XXXX-2001,SBI,314975,2025-01-21T20:43:00,IMPS,SBI937819B2,Delivery fee
C02BFECF,Rekha Menon,ICICI-XXXX-2522,ICICI,Shobha Roy,ICICI-XXXX-3996,SBI,110061,2025-02-21T15:17:00,NEFT,REFA39ECCB6,Invoice payment
4350A390,Sanjay Mishra,HDFC-XXXX-8933,ICICI,Suresh Sharma,PNB-XXXX-9595,BOI,79186,2025-01-13T11:18:00,IMPS,REFECBD4DAB,Salary
F3FE74E3,A. Mehta,HDFC-XXXX-1001,HDFC,Phoenix Exports,HDFC-XXXX-1002,HDFC,9820916,2025-03-13T12:29:00,NEFT,HDFC098F63C0,Commission payment – export services
001326D1,Anil Ghosh,HDFC-XXXX-9747,BOI,Rekha Joshi,AXIS-XXXX-6772,ICICI,149200,2025-02-11T13:26:00,CASH,REF78414D2E,Invoice payment
E26EA081,Sanjay Tiwari,PNB-XXXX-4241,AXIS,Mahesh Roy,SBI-XXXX-9922,HDFC,174773,2025-01-20T12:52:00,IMPS,REFF3B1EFD0,Personal transfer
D52DFE40,Shobha Ghosh,ICICI-XXXX-5285,ICICI,Mahesh Menon,BOI-XXXX-9147,AXIS,30849,2025-03-02T20:53:00,RTGS,REF9ED4089A,Rent payment
F179815A,Usha Patel,PNB-XXXX-9624,SBI,Mahesh Mishra,PNB-XXXX-7937,BOI,99851,2025-01-03T13:19:00,IMPS,REFE8216CAA,Rent payment
075CCECE,Phoenix Exports,HDFC-XXXX-1002,HDFC,D. Rao,SBI-XXXX-2001,SBI,477746,2025-03-13T16:16:00,IMPS,SBIEAFDDDB5,Delivery fee
7161DEC8,Priya Das,HDFC-XXXX-2477,HDFC,Priya Kumar,SBI-XXXX-9086,HDFC,94630,2025-02-23T12:50:00,NEFT,REFCB9FA21A,Salary
B81F3231,Shobha Das,HDFC-XXXX-9814,HDFC,Rajesh Menon,HDFC-XXXX-9952,BOI,72805,2025-03-12T15:39:00,CASH,REF1A1A5F49,Rent payment
95835F55,Rekha Menon,BOI-XXXX-4625,HDFC,Anil Kumar,SBI-XXXX-5272,BOI,158100,2025-02-23T12:09:00,IMPS,REF673022ED,Salary
EB736A0C,Usha Kumar,PNB-XXXX-2795,AXIS,Rekha Menon,BOI-XXXX-6040,SBI,161476,2025-03-02T12:41:00,IMPS,REF8F97E137,
70AC952F,Dinesh Iyer,AXIS-XXXX-4695,HDFC,Anita Pandey,AXIS-XXXX-2207,SBI,82308,2025-01-03T13:16:00,NEFT,REFF76C003E,Personal transfer
F9952ABF,Suresh Patel,ICICI-XXXX-1092,ICICI,Lata Pandey,AXIS-XXXX-3536,SBI,45292,2025-02-11T17:03:00,CASH,REFE370A661,
B006D432,Usha Singh,ICICI-XXXX-1612,BOI,Lata Joshi,AXIS-XXXX-2285,SBI,92658,2025-02-14T14:26:00,NEFT,REF088DE46E,Rent payment
F80D9649,Anil Das,PNB-XXXX-5584,SBI,Rajesh Patel,SBI-XXXX-4792,BOI,113280,2025-02-17T15:47:00,NEFT,REFD83B4184,
0AFBC99E,Lata Singh,PNB-XXXX-4552,BOI,Rajesh Roy,PNB-XXXX-2995,SBI,27645,2025-01-17T14:42:00,CASH,REF70ECE29B,
100FDDEC,Usha Iyer,BOI-XXXX-2744,SBI,Sanjay Kumar,AXIS-XXXX-3381,SBI,180703,2025-01-08T11:17:00,IMPS,REFE3A6B097,Salary
F9473A32,Sanjay Pandey,SBI-XXXX-8705,SBI,Anil Nair,PNB-XXXX-9837,SBI,96740,2025-01-29T18:04:00,CASH,REFA340F8DA,Personal transfer
EEC50355,Lata Joshi,PNB-XXXX-7802,SBI,Suresh Ghosh,PNB-XXXX-6864,AXIS,189169,2025-02-24T09:10:00,IMPS,REFEE69FCDC,
7E972AA1,Anita Ghosh,PNB-XXXX-9383,BOI,Priya Iyer,HDFC-XXXX-7204,BOI,104773,2025-01-06T20:10:00,RTGS,REF992CEA42,
818577D8,Usha Joshi,PNB-XXXX-9202,SBI,Shobha Singh,HDFC-XXXX-9952,HDFC,108040,2025-02-22T13:28:00,NEFT,REF85846BE8,Rent payment
56B9CE16,Meena Ghosh,SBI-XXXX-1132,ICICI,Mahesh Das,SBI-XXXX-7919,HDFC,130226,2025-01-10T11:24:00,NEFT,REF30B7C677,Personal transfer
CC7F2BB8,Usha Kumar,BOI-XXXX-2196,SBI,Priya Sharma,AXIS-XXXX-6644,SBI,146862,2025-01-08T09:59:00,NEFT,REF637861FD,Personal transfer
0D146012,Vijay Das,SBI-XXXX-4063,HDFC,Suresh Joshi,PNB-XXXX-9418,SBI,103880,2025-01-06T14:17:00,IMPS,REF4FBA694B,Salary
4799FB3C,Sanjay Sharma,ICICI-XXXX-1224,BOI,Priya Patel,AXIS-XXXX-2527,HDFC,34743,2025-03-01T09:41:00,IMPS,REFAF35507F,Invoice payment
9B85ADFA,Anita Mishra,ICICI-XXXX-9138,BOI,Mahesh Sharma,PNB-XXXX-6563,HDFC,166173,2025-02-08T13:27:00,IMPS,REF8DB7B2B3,Invoice payment
168EA522,Meena Iyer,BOI-XXXX-8489,SBI,Mahesh Tiwari,SBI-XXXX-9189,BOI,145523,2025-01-03T18:32:00,IMPS,REF779DBAEB,Rent payment
990ADF7B,Lata Singh,HDFC-XXXX-1652,SBI,Rajesh Nair,AXIS-XXXX-9300,ICICI,169776,2025-03-06T20:26:00,NEFT,REFAD4111A0,Invoice payment
7FC9BD4B,Meena Menon,PNB-XXXX-9830,AXIS,Priya Singh,HDFC-XXXX-9586,AXIS,149563,2025-01-20T17:18:00,RTGS,REFAA95FEF3,Invoice payment
94EF8222,Usha Sharma,AXIS-XXXX-8341,SBI,Anita Das,AXIS-XXXX-8324,ICICI,36118,2025-03-05T19:41:00,NEFT,REF3ABC4531,Personal transfer
783ED49A,Usha Ghosh,BOI-XXXX-7156,SBI,Rekha Singh,SBI-XXXX-7708,ICICI,113662,2025-01-23T16:29:00,CASH,REF6DE4A523,
DF9CAE85,Anil Sharma,AXIS-XXXX-1715,ICICI,Usha Tiwari,PNB-XXXX-8749,AXIS,106208,2025-01-20T15:02:00,IMPS,REF0D007BA2,
F1C85EB4,Vijay Joshi,ICICI-XXXX-7765,HDFC,Priya Ghosh,SBI-XXXX-3988,HDFC,80915,2025-01-15T18:29:00,IMPS,REF30DD068D,Invoice payment
0A463CC3,Lata Mishra,ICICI-XXXX-7518,ICICI,Sanjay Sharma,ICICI-XXXX-8419,HDFC,41223,2025-02-22T17:44:00,CASH,REF40191EC7,
F899D914,Lata Tiwari,BOI-XXXX-7232,AXIS,Lata Sharma,AXIS-XXXX-5871,BOI,117415,2025-02-09T17:39:00,NEFT,REF5DD90C4B,
B3875354,Anil Tiwari,BOI-XXXX-1857,ICICI,Rekha Joshi,SBI-XXXX-6401,SBI,151266,2025-02-19T12:16:00,CASH,REF42E94181,
29A0801D,Vijay Menon,BOI-XXXX-7503,SBI,Usha Das,PNB-XXXX-1500,HDFC,102639,2025-03-04T17:28:00,IMPS,REFAC6CE695,Invoice payment
DA2DFD6F,Priya Pandey,BOI-XXXX-1287,ICICI,Anita Menon,HDFC-XXXX-1958,HDFC,88802,2025-03-01T19:08:00,RTGS,REF79985C80,Rent payment
D31F0008,Vijay Menon,SBI-XXXX-8193,SBI,Usha Pandey,HDFC-XXXX-4438,BOI,185652,2025-02-14T19:39:00,CASH,REFBA0D779A,Invoice payment
CFF3D74B,Rekha Patel,PNB-XXXX-2228,BOI,Anil Patel,SBI-XXXX-6536,BOI,165863,2025-03-03T19:01:00,NEFT,REF1C845B2A,Rent payment
A8D28AB1,Dinesh Ghosh,BOI-XXXX-6739,BOI,Anita Sharma,ICICI-XXXX-5440,HDFC,189642,2025-02-06T17:15:00,IMPS,REFCE301940,Personal transfer
F9695353,Rekha Ghosh,SBI-XXXX-8530,ICICI,Usha Menon,PNB-XXXX-4327,HDFC,150352,2025-01-06T14:42:00,IMPS,REFB0AE7207,Salary
DE72860F,Mahesh Mishra,SBI-XXXX-2524,ICICI,Shobha Das,HDFC-XXXX-7625,HDFC,85270,2025-02-17T15:35:00,IMPS,REFC70E3F95,Salary
CF4DFC70,Usha Patel,AXIS-XXXX-6654,ICICI,Shobha Ghosh,BOI-XXXX-9903,AXIS,124365,2025-02-11T11:44:00,IMPS,REF4802B925,
64B5E920,Mahesh Pandey,ICICI-XXXX-7689,SBI,Shobha Mishra,HDFC-XXXX-1742,SBI,84787,2025-03-05T09:06:00,IMPS,REF74F1E5A9,
A256F08D,Sunita V.,SBI-XXXX-2002,SBI,Sunrise Trading Co.,ICICI-XXXX-3001,ICICI,246077,2025-01-07T17:30:00,NEFT,ICICI64EB38A0,Accounts payable
9EBCBD03,Sanjay Singh,BOI-XXXX-5633,SBI,Anil Nair,BOI-XXXX-7143,BOI,138361,2025-02-27T15:02:00,RTGS,REF7316A15B,Rent payment
1CAB727C,Mahesh Kumar,BOI-XXXX-7637,BOI,Usha Roy,HDFC-XXXX-1600,BOI,73319,2025-03-11T16:30:00,CASH,REFBA5C31FD,Rent payment
B2F455DD,Dinesh Nair,BOI-XXXX-8048,SBI,Shobha Ghosh,PNB-XXXX-2874,BOI,193963,2025-01-28T14:28:00,IMPS,REF8846B711,Invoice payment
1686DF29,Usha Ghosh,AXIS-XXXX-1917,BOI,Rekha Das,ICICI-XXXX-6169,BOI,145479,2025-01-03T11:36:00,CASH,REF1EAA7D16,Salary
399CD1B7,Shobha Nair,BOI-XXXX-7014,AXIS,Usha Nair,SBI-XXXX-9289,AXIS,197323,2025-01-24T08:39:00,RTGS,REFEF38FD26,
7D865964,Mahesh Patel,PNB-XXXX-1865,SBI,Rajesh Singh,AXIS-XXXX-1438,HDFC,105304,2025-02-11T10:19:00,IMPS,REFE9F3A949,
0CD23BF7,Dinesh Nair,AXIS-XXXX-3572,SBI,Rekha Das,ICICI-XXXX-6765,ICICI,168900,2025-02-08T11:32:00,RTGS,REFC009CC5C,Personal transfer
FE25991B,S. Verma,SBI-XXXX-2002,SBI,Sunrise Trading Co.,ICICI-XXXX-3001,ICICI,74448,2025-02-22T15:30:00,NEFT,ICICI6BB8FCFC,Accounts payable
3BB9CC3A,Suresh Roy,PNB-XXXX-2876,HDFC,Lata Mishra,ICICI-XXXX-2771,BOI,11731,2025-02-09T17:43:00,NEFT,REFEF3E972E,Invoice payment
3B6875F0,Meena Pandey,BOI-XXXX-7022,SBI,Anita Menon,ICICI-XXXX-4705,AXIS,152053,2025-03-13T08:38:00,CASH,REF3B0E9744,Salary
2175DA5F,Suresh Singh,SBI-XXXX-4311,SBI,Rekha Tiwari,AXIS-XXXX-9290,SBI,131527,2025-03-06T10:12:00,RTGS,REF1E51AA7E,Invoice payment
9B8709F1,Usha Sharma,SBI-XXXX-8716,BOI,Anil Sharma,AXIS-XXXX-1890,AXIS,42995,2025-01-28T17:29:00,IMPS,REF1BC5DA31,Invoice payment
